customerid,churn_probability,monthlycharges,expected_saved_revenue,retention_priority_score,risk_reasons,recommended_offer,contract,internetservice,tenure,ai_generated_message
7089-IVVAZ,77.1,103.35,23.89,7968.28,"Month-to-month contract, Fiber optic plan, New customer",10% discount + contract upgrade offer,Month-to-month,Fiber optic,8,"We’ve loved having you with us for the past eight months, and we want to keep delivering the ultra‑fast fiber experience you’ve come to expect. To show our appreciation, we’re offering you a 10 % discount on your monthly $103.35 bill for the next three months, plus the option to upgrade to a higher‑speed tier at no additional cost for the first month. This special deal is available only while you stay on a month‑to‑month plan, so you can enjoy even more bandwidth without a long‑term commitment. If you have any questions or would like to lock in the upgrade, just let us know—we’re here to help."
3387-VATUS,83.9,94.85,23.88,7957.92,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,5,"We’ve noticed you’ve been enjoying our fiber‑optic service for the past five months, and we truly appreciate you choosing us for your home internet. To make staying with us even more rewarding, we’d like to offer you a 10 % discount on your monthly $94.85 bill for the next three months, plus the option to upgrade to a longer‑term contract that locks in this lower rate and adds complimentary tech‑support and online security protection. If you’re interested, just let us know and we’ll set it up right away—no hassle, no extra cost. We hope you’ll continue to experience the fast, reliable connection you deserve."
3902-FOIGH,78.4,101.35,23.85,7945.84,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,12,"We’ve loved having you with us for the past year on your high‑speed fiber connection, and we want to make sure you continue enjoying reliable service without any hassle. As a thank‑you for being a valued month‑to‑month member, we’re offering you a 10 % discount on your current plan for the next three months, plus the option to upgrade to a longer‑term contract that locks in this lower rate and adds priority tech‑support. If you’d like to take advantage of either offer, just reply to this email or give us a call, and we’ll set everything up instantly."
7181-BQYBV,77.4,102.45,23.8,7929.63,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve enjoyed having you with us for the past month and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. As a thank‑you for choosing our month‑to‑month plan, we’re happy to apply a 10 % discount to your next bill and offer you an easy upgrade to a longer‑term contract that locks in this lower rate. If you have any questions or need a quick tech‑support check, just let us know—our team is ready to help."
3440-JPSCL,79.3,99.95,23.79,7926.04,"Month-to-month contract, Fiber optic plan, New customer, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,6,"We’ve loved having you with us for the past six months, and we want to keep your fiber‑optic experience fast and reliable. As a thank‑you for being a valued month‑to‑month member, we’re offering you a 10 % discount on your next three bills—plus the option to upgrade to a 12‑month contract and lock in that savings for even longer. This upgrade also adds complimentary online security, so you can enjoy peace of mind while you stream, work, and game. Let us know if you’d like to activate the discount and upgrade, and we’ll take care of the rest."
1583-IHQZE,70.1,112.95,23.76,7917.79,"Month-to-month contract, Fiber optic plan, New customer, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,12,"We’ve loved having you with us for the past year and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To thank you for being a valued month‑to‑month member, we’re offering you a 10 % discount on your current $112.95 plan for the next three months, plus the option to upgrade to a higher‑speed tier with a locked‑in rate that protects you from future price hikes. Let us know if you’d like to lock in this savings and explore the upgraded speed – we’re here to keep you connected exactly the way you need."
3988-RQIXO,86.7,91.3,23.74,7915.71,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you with us for the past month and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To show our appreciation, we’re adding a 10 % discount to your next billing cycle and offering an easy upgrade to a 12‑month contract that locks in this lower rate for the year. With the upgraded plan you’ll keep the same high‑speed service you enjoy, plus you’ll gain access to priority tech support and our new online security suite at no extra cost. If you have any questions or would like to activate the offer, just let us know—we’re here to help."
3643-AHCFP,82.6,95.6,23.7,7896.56,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,7,"We’ve noticed you’ve been enjoying our fiber‑optic internet for the past seven months, and we appreciate you choosing a flexible month‑to‑month plan. To help you stay connected with even faster speeds and added peace of mind, we’d like to offer you a 10 % discount on your current $95.60 monthly bill, plus an upgrade to our premium fiber package that includes 24/7 tech support and online security at no extra cost for the first three months. If you’d like to lock in these savings and the enhanced protection, just let us know and we’ll take care of the switch right away."
9025-AOMKI,84.4,93.55,23.69,7895.62,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,6,"We’ve loved having you with us for the past six months and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. As a thank‑you for staying month‑to‑month, we’re applying a 10 % discount to your next billing cycle and offering an easy upgrade to a 12‑month plan that locks in this lower rate for the year. This also gives you priority access to our tech‑support hotline and the latest online security suite at no extra cost. Let us know if you’d like to take advantage of the upgrade—our team is ready to help you stay connected without interruption."
6356-ELRKD,82.6,95.6,23.69,7896.56,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you with us for the past month and want to make sure your fiber‑optic experience stays fast and reliable. To show our appreciation, we’re offering a 10 % discount on your next billing cycle and an easy upgrade to a longer‑term plan that locks in today’s low rate. This also gives you priority tech‑support access, so any issue can be resolved quickly. Let us know if you’d like to activate the discount and upgrade – we’re here to keep you connected."
2660-EMUBI,82.8,95.35,23.68,7894.98,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,10,"We’ve loved having you with us for the past 10 months, and we want to make sure your fiber‑optic service continues to deliver the speed and reliability you expect. To show our appreciation, we’re offering you a 10 % discount on your monthly $95.35 bill for the next six months—plus an easy upgrade to a 24‑month contract that locks in that lower rate and adds priority tech support and free online security tools. If you’d like to take advantage of this offer or discuss any other options, just reply to this email or give us a call, and we’ll handle the rest."
0897-FEGMU,79.2,99.5,23.64,7880.4,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,11,"We noticed you’ve been enjoying our fiber‑optic internet for almost a year now, and we truly value having you with us on a month‑to‑month plan. To show our appreciation, we’d like to offer you a 10 % discount on your next billing cycle and give you the option to upgrade to a longer‑term contract that locks in this lower rate for the future. This upgrade also comes with complimentary tech‑support access and a free online security suite to keep your connection safe. If you’d like to take advantage of these benefits, just let us know and we’ll set everything up for you right away."
2265-CYWIV,79.0,99.6,23.61,7868.4,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support",10% discount + contract upgrade offer,Month-to-month,Fiber optic,4,"We’ve noticed you’ve been enjoying our high‑speed fiber connection for the past four months, and we truly value you as a new member of the family. To make sure you keep experiencing that lightning‑fast service without any surprise, we’d like to offer you a 10 % discount on your monthly $99.60 bill for the next three months—no extra steps required. If you’re open to a longer‑term plan, we can also upgrade you to a 12‑month contract that locks in this reduced rate and adds priority tech support at no additional cost. Let us know what works best for you, and we’ll take care of the rest."
0302-JOIVN,77.8,101.15,23.6,7869.47,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,8,"We noticed you’ve been enjoying our high‑speed fiber service for the past eight months, and we truly value having you with us on a flexible month‑to‑month plan. To thank you for staying, we’d like to apply a 10 % discount to your next billing cycle and offer an easy upgrade to a higher‑tier fiber package at the same reduced rate—no long‑term commitment required. This way you’ll keep the reliable connection you rely on while saving even more each month. If you have any questions or need help with the upgrade, just let us know; we’re here to support you."
3006-XIMLN,83.5,94.2,23.58,7865.7,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,2,"We’ve loved having you on board for the past two months with our high‑speed fiber optic service, and we want to make sure it continues to meet your needs. To thank you for choosing a month‑to‑month plan, we’re offering you a 10 % discount on your $94.20 monthly charge for the next three bills, plus the option to upgrade to a longer‑term contract with even lower rates and added tech‑support perks. If you’re interested in adding online security or any other features, just let us know and we’ll tailor a package that fits you perfectly. We’re here to keep you connected and protected—let us know how we can help."
3606-TWKGI,73.5,106.9,23.57,7857.15,"Month-to-month contract, Fiber optic plan, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,13,"We’ve noticed you’ve been enjoying our fast fiber optic service for over a year now, and we’d love to keep that speed working for you. To show our appreciation, we’re offering you a 10 % discount on your monthly $106.90 bill for the next three months—plus the option to upgrade to a fixed‑term plan that locks in this lower rate and adds complimentary tech support and online security tools. This upgrade not only protects your connection but also eliminates the hassle of electronic‑check payments each cycle. Let us know if you’d like to take advantage of these savings and added peace of mind."
8168-UQWWF,80.2,97.85,23.55,7847.57,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,11,"We’ve noticed you’re nearing a year with our high‑speed fiber optic plan, and we truly value the reliability you’ve experienced over the past 11 months. To make staying even easier, we’d like to give you a 10 % discount on your monthly $97.85 charge and offer an upgrade to a longer‑term contract that locks in this lower rate plus added perks like priority tech support and online security tools. If you’d like to explore the upgrade or have any questions, just let us know—we’re here to keep you connected without any hassle."
4078-SAYYN,77.9,100.75,23.54,7848.42,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,11,"We’ve loved having you with us for the past 11 months, and we want to make sure your fiber‑optic internet continues to meet every need you have. To thank you for staying month‑to‑month, we’re adding a 10 % discount to your next billing cycle and offering an easy upgrade to a higher‑speed plan—no extra commitment required. If you have any questions about the upgrade or need help with tech support or online security, just let us know and we’ll set it up right away. Your seamless, reliable connection is our priority, and we’re here to keep it that way."
5299-RULOA,78.2,100.25,23.51,7839.55,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support",10% discount + contract upgrade offer,Month-to-month,Fiber optic,10,"We’ve loved having you with us for the past 10 months, and we understand that a month‑to‑month plan can feel a bit uncertain—so we’d like to offer you a 10 % discount on your $100.25 monthly bill for the next three months, plus the option to upgrade to our premium fiber package at a reduced rate, giving you even faster speeds and extra reliability. This upgrade comes with a simple fixed‑term contract that locks in the lower price and includes priority tech support, so you won’t have to worry about service interruptions. If you’d like to take advantage of the discount and the upgrade, just let us know and we’ll set everything up right away."
5052-PNLOS,74.4,105.35,23.5,7838.04,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve loved having you on our ultra‑fast fiber optic plan for the past three months, and we want to make sure you continue enjoying seamless streaming and work‑from‑home reliability. To help you stay connected, we’re offering a 10 % discount on your monthly $105.35 bill for the next six months, plus an easy upgrade to a fixed‑term contract that locks in this lower rate for a full year. This way you’ll keep the speed you need while protecting your budget and avoiding any surprise price changes. If you have any questions or need assistance setting up the upgrade, our support team is ready to help—just let us know!"
7450-NWRTR,78.8,99.45,23.5,7836.66,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,12,"We’ve loved having you with us for the past year, and we want to make sure your fiber‑optic connection continues to serve you perfectly. As a thank‑you for staying on your month‑to‑month plan, we’re happy to apply a 10 % discount to your next three monthly bills, and we can also upgrade you to a simple 12‑month contract that locks in this lower rate for the year ahead. If you’d like to switch to the longer‑term plan or explore any additional security features, just let us know—our support team is ready to help you anytime."
5293-WXJAK,75.2,104.05,23.48,7824.56,"Month-to-month contract, Fiber optic plan, New customer, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,11,"We’ve loved having you with us for the past 11 months and want to make sure your fiber‑optic service continues to meet every need. To thank you for staying month‑to‑month, we’re offering a 10 % discount on your $104.05 bill for the next three months, plus a complimentary upgrade to a higher‑speed tier at no extra cost if you decide to switch to an annual plan. This way you keep enjoying fast, reliable internet while saving even more. Let us know if you’d like to lock in the discount and explore the upgrade – we’re here to help!"
4236-XPXAV,78.8,99.15,23.43,7813.02,"Month-to-month contract, Fiber optic plan, New customer, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,5,"We’ve noticed you’ve been enjoying our fiber‑optic service for the past five months, and we truly value you as a month‑to‑month member. To show our appreciation, we’d like to offer you a 10 % discount on your next billing cycle and give you the option to upgrade to a longer‑term contract that locks in today’s rate while keeping that blazing‑fast connection you love. This way you keep the reliability you rely on and save even more each month. If you have any questions or would like to explore the upgrade, just let us know—we’re here to help."
9330-IJWIO,77.8,100.35,23.43,7807.23,"Month-to-month contract, Fiber optic plan, Electronic check payment, No tech support",10% discount + contract upgrade offer,Month-to-month,Fiber optic,13,"We’ve noticed you’ve been enjoying our fiber‑optic service for a little over a year now, and we truly value the flexibility of your month‑to‑month plan. To show our appreciation, we’d like to apply a 10 % discount to your next billing cycle and offer you an upgrade to a longer‑term contract that locks in that lower rate for the future. If you prefer to stay month‑to‑month, the discount still applies, and our tech‑support team is ready to assist with any questions you might have. Let us know what works best for you, and we’ll take care of the rest."
0880-TKATG,77.1,101.15,23.41,7798.66,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,4,"We’ve enjoyed having you with us for the past four months and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. As a thank‑you for choosing our month‑to‑month plan, we’re offering you a 10 % discount on your next bill and the option to upgrade to a 12‑month contract with an even lower rate and added security features. This upgrade also includes complimentary tech‑support access, so you’ll have help whenever you need it. Let us know if you’d like to lock in these savings and enjoy peace of mind with enhanced protection."
8510-AWCXC,77.4,100.8,23.4,7801.92,"Month-to-month contract, Fiber optic plan, Electronic check payment, No tech support",10% discount + contract upgrade offer,Month-to-month,Fiber optic,13,"We noticed you’ve been enjoying our fiber‑optic service for over a year now, and we truly value having you with us on a month‑to‑month plan. To show our appreciation, we’d like to apply a 10 % discount to your next billing cycle and offer you an upgrade to a longer‑term contract that locks in this lower rate and adds priority tech support at no extra cost. This way you can keep the fast, reliable connection you rely on while saving even more each month. If you have any questions or would like to set up the upgrade, just let us know—we’re here to help."
7548-SEPYI,80.8,96.25,23.34,7777.0,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,5,"We’ve loved having you with us for the past five months and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To show our appreciation, we’re offering you a 10 % discount on your current $96.25 monthly bill, plus the option to upgrade to a higher‑speed plan with a simple, low‑commitment contract that still lets you pay by electronic check. If you have any questions or need a quick tech‑support check, our team is just a call or click away. Let us know how we can keep you connected the way you deserve."
7295-JOMMD,79.2,98.1,23.3,7769.52,"Month-to-month contract, Fiber optic plan, New customer, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,4,"We noticed you’ve been enjoying our fiber‑optic internet for the past four months, and we truly appreciate having you as a new member of the family. To make staying even easier, we’d like to offer you a 10 % discount on your monthly $98.10 bill for the next three months, plus the option to upgrade to a longer‑term contract with added perks at no extra cost. This way you keep the lightning‑fast speeds you love while locking in savings and extra benefits. If you have any questions or would like to activate the offer, just let us know—we’re here to help."
5380-AFSSK,82.6,93.9,23.28,7756.14,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,5,"We’ve loved having you connected with our ultra‑fast fiber optic service over the past five months, and we want to make sure you continue enjoying that speed without any hassle. To help you stay, we’re offering a 10 % discount on your monthly $93.90 bill for the next three months—plus the option to upgrade to a simple 12‑month plan that locks in this lower rate and adds 24/7 tech support and online security at no extra cost. If you’d like to take advantage of the discount or explore the upgrade, just reply to this email or give us a quick call. We’re here to keep you online, protected, and happy."
5797-APWZC,85.6,90.6,23.28,7755.36,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you on board for the past month with our high‑speed fiber optic service, and we want to make sure you continue enjoying reliable connectivity without any hassle. To show our appreciation, we’re offering you a 10 % discount on your monthly bill for the next three months, plus the option to upgrade to a simple 12‑month contract that includes complimentary tech support and basic online security protection. If you switch to the upgraded plan, the discount will stay in place for the full year, keeping your monthly cost under $85 while giving you peace of mind. Let us know if you’d like to lock in these savings and enjoy a smoother, more secure internet experience."
7294-TMAOP,85.6,90.55,23.27,7751.08,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We noticed you’ve just started enjoying our fiber‑optic service and wanted to thank you for choosing us—your first month has been $90.55, and we’d love to keep you connected with a special 10 % discount on your next three bills. If you’re open to a longer‑term plan, we can upgrade you to a discounted annual contract that locks in today’s low rate and adds extra bandwidth at no extra cost. Should you have any questions or need assistance, our tech‑support team is ready to help 24/7, and we’re happy to set up a more secure online payment option for you. Let us know how we can make your experience even better!"
3068-OMWZA,87.2,88.8,23.23,7743.36,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We noticed you’ve only been with us a month and wanted to thank you for choosing our fiber‑optic service—your fast, reliable connection at $88.80 a month. To make staying even easier, we’re offering you a 10 % discount on your next bill and the option to upgrade to a longer‑term contract with added benefits like dedicated tech support and online security at no extra cost. This way you keep enjoying lightning‑quick speeds while saving money and gaining peace of mind. If you have any questions, just let us know—we’re here to help."
3585-ISXZP,80.7,95.65,23.17,7718.96,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,8,"We’ve loved having you with us for the past eight months, and we want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To show our appreciation, we’re offering you a 10 % discount on your monthly $95.65 bill for the next six months—plus the option to upgrade to a longer‑term contract that locks in this lower rate and adds premium tech support and online security at no extra cost. If you’d like to take advantage of the discount or discuss the upgrade, just let us know and we’ll set everything up right away."
5095-AESKG,84.1,91.5,23.09,7695.15,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve noticed you’ve been enjoying our high‑speed fiber optic service for the past three months, and we’d love to keep you connected without any surprises. To show our appreciation, we’re offering you a 10 % discount on your current $91.50 monthly bill, plus an optional upgrade to a longer‑term contract that locks in this reduced rate and adds complimentary tech‑support and online security protection. If you’d like to take advantage of this offer or have any questions, just let us know—we’re here to help you stay online and worry‑free."
0754-UKWQP,80.2,95.85,23.06,7687.17,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,2,"We’ve loved having you on our high‑speed fiber optic plan for the past two months, and we want to make sure you continue enjoying reliable, fast internet at a great value. As a thank‑you for being a new month‑to‑month member, we’re offering you a 10 % discount on your next billing cycle and the option to upgrade to a fixed‑term contract that locks in this lower rate for a year. This upgrade not only secures your savings but also gives you priority access to our tech‑support team and enhanced online security features at no extra cost. Let us know if you’d like to take advantage of the discount and upgrade—your uninterrupted, high‑performance connection is just a click away."
8357-EQXFO,80.5,95.35,23.04,7675.67,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,7,"We’ve loved having you with us for the past seven months, and we want to make sure your fiber‑optic service continues to deliver the speed and reliability you expect. To thank you for staying month‑to‑month, we’re happy to apply a 10 % discount to your next bill and offer an easy upgrade to a longer‑term plan that locks in this lower rate. Plus, you’ll gain access to our premium tech‑support and online‑security suite at no extra cost. Let us know if you’d like to activate these benefits—our team is ready to help you right away."
9221-OTIVJ,73.1,104.85,22.99,7664.53,"Month-to-month contract, Fiber optic plan, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,14,"We’ve truly enjoyed keeping you connected with our high‑speed fiber optic service for the past 14 months, and we understand that a month‑to‑month plan can feel uncertain at times. To show our appreciation, we’d like to give you a 10 % discount on your current $104.85 monthly bill and offer an easy upgrade to a low‑rate 12‑month contract that locks in that savings. This also includes complimentary access to our tech‑support hotline and basic online security suite, so you can enjoy faster, safer internet without any extra hassle. If you have any questions or would like to make the switch, just let us know—we’re here to help."
8775-LHDJH,84.6,90.6,22.98,7664.76,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you with us for the past month and want to make sure your fiber‑optic experience stays fast and hassle‑free. To show our appreciation, we’re offering you a 10 % discount on your next month’s bill, plus the option to upgrade to a simple 12‑month plan that locks in this lower rate and adds priority tech support. If you’d like to take advantage of either offer or have any questions, just reply to this email and we’ll take care of the rest."
7398-SKNQZ,80.6,94.9,22.95,7648.94,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve loved having you on our high‑speed fiber plan for the past three months, and we want to make sure you continue enjoying reliable service without any hassle. As a thank‑you for choosing our month‑to‑month option, we’re offering you a 10 % discount on your next bill and the chance to upgrade to a longer‑term contract that locks in this lower rate. This upgrade also adds complimentary tech‑support and basic online‑security protection at no extra cost. Let us know if you’d like to take advantage of these savings—we’re here to keep you connected."
4626-GYCZP,81.4,93.85,22.93,7639.39,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,7,"We’ve noticed you’ve been enjoying our fast fiber optic service for the past seven months, and we truly value you as a month‑to‑month member. To show our appreciation, we’d like to offer you a 10 % discount on your current $93.85 monthly bill and an easy upgrade to a longer‑term plan that locks in even lower rates and includes complimentary tech support and online security tools. This way you can keep the speedy connection you love while saving money and gaining extra protection. If you’d like to take advantage of the discount or discuss the upgrade options, just let us know—we’re here to help!"
7783-YKGDV,76.5,99.7,22.87,7627.05,"Month-to-month contract, Fiber optic plan, New customer, No tech support",10% discount + contract upgrade offer,Month-to-month,Fiber optic,12,"We’ve loved having you with us for the past year and want to make sure your fiber‑optic connection continues to deliver the speed you rely on. As a thank‑you for being a month‑to‑month member, we’re happy to apply a 10 % discount to your next three monthly bills and offer you an easy upgrade to a longer‑term plan that locks in today’s low rate. This way you’ll enjoy even more value and peace of mind without any service interruption. If you have any questions or need help with the upgrade, our support team is ready to assist you."
9944-HKVVB,80.0,95.1,22.81,7608.0,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve noticed you’ve been enjoying our fiber‑optic internet for the past three months, and we want to make sure you continue to get the best value from your month‑to‑month plan. As a thank‑you for being a new customer, we’re happy to apply a 10 % discount to your next three bills and offer you an easy upgrade to a 12‑month contract—locking in that lower rate for a full year. This also gives you access to our premium tech‑support and online security suite at no extra cost. If you have any questions or would like to activate the upgrade, just let us know and we’ll take care of the rest."
0684-AOSIH,79.7,95.0,22.72,7571.5,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We noticed you’ve just started enjoying our fiber‑optic internet and wanted to thank you for choosing us. To make your experience even smoother, we’re offering a 10 % discount on your monthly $95 charge for the next three months—plus an easy upgrade to a fixed‑term plan that locks in that lower rate and adds priority tech support. If you have any questions or need help setting up the upgrade, just reply to this email or give us a call; we’re here to keep you connected."
1450-GALXR,76.8,98.5,22.7,7564.8,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,10,"We’ve loved having you with us for the past 10 months and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To show our appreciation, we’re offering you a 10 % discount on your monthly $98.50 bill for the next six months, plus the option to upgrade to a flexible contract that locks in this lower rate and adds extra security features at no additional cost. If you’d like to take advantage of these savings or have any questions, just let us know—our team is here to help you stay connected effortlessly."
0564-JJHGS,79.0,95.5,22.65,7544.5,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,9,"We’ve loved having you with us for the past nine months, and we want to make sure your fiber‑optic experience stays fast, reliable, and affordable. As a thank‑you for being a valued month‑to‑month member, we’re offering you a 10 % discount on your next billing cycle and the option to upgrade to a simple 12‑month contract that locks in this lower rate for the year ahead. This way you keep enjoying the high‑speed service you rely on while saving even more. If you have any questions or need help setting up the upgrade, our support team is just a click or call away."
7943-RQCHR,79.6,94.75,22.63,7542.1,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,9,"We’ve loved having you with us for the past nine months and hope you’ve enjoyed the fast, reliable fiber connection that keeps you streaming, gaming, and working without a hitch. To make staying even easier, we’re offering a 10 % discount on your monthly $94.75 bill for the next six months, plus an upgrade to a longer‑term contract that locks in this lower rate. If you’d like to explore the upgrade or have any questions about your service, just let us know—we’re here to help you get the most out of your connection."
5419-CONWX,75.5,99.8,22.61,7534.9,"Month-to-month contract, Fiber optic plan, New customer, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,4,"We’ve noticed you’ve been enjoying our fiber‑optic service for the past four months, and we truly value you as a month‑to‑month member. To show our appreciation, we’d like to give you a 10 % discount on your next bill and invite you to upgrade to a yearly contract—locking in that lower rate and giving you priority tech support and online security at no extra cost. If you have any questions or need help making the switch, our team is ready to assist you right away."
2454-RPBRZ,76.8,98.1,22.61,7534.08,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,12,"We’ve loved having you with us for the past year on our fast fiber optic plan, and we want to make staying even easier for you. As a thank‑you for being a valued month‑to‑month customer, we’re offering a 10 % discount on your next billing cycle, plus the option to upgrade to a simple 12‑month contract with even lower rates and added perks. This upgrade secures the savings you deserve while keeping the high‑speed internet you rely on. Let us know if you’d like to lock in the discount and explore the new contract—our team is ready to help whenever you need it."
4695-WJZUE,84.9,88.55,22.57,7517.9,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,2,"We’ve loved having you on board for the past two months with our fast fiber‑optic service, and we want to make sure you continue enjoying reliable, high‑speed internet without any hassle. As a thank‑you for being a valued month‑to‑month customer, we’re happy to apply a 10 % discount to your next billing cycle and offer you an easy upgrade to a longer‑term contract that locks in this lower rate for the future. If you’d like to explore the upgrade or have any questions, just reply to this email or give us a quick call—our support team is ready to help."
7274-RTAPZ,83.1,90.55,22.57,7524.7,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you on board for the past month and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To show our appreciation, we’re offering you a 10 % discount on your next billing cycle and a complimentary upgrade to a longer‑term contract that locks in this lower rate. This way you’ll keep enjoying the high‑speed connection you signed up for while saving even more each month. If you have any questions or need assistance, our support team is just a call or click away."
